journey_id,customer_id,first_touch_timestamp,last_touch_timestamp,first_channel,last_channel,first_campaign,last_campaign,touchpoint_count,unique_channels,converted,conversion_events,conversion_value,journey_duration_hours,conversion_timestamp,days_to_conversion,journey_path
JOURNEY-00064,CUST-00064,2025-01-19 11:37:00,2025-02-02 18:03:00,Organic Search,Referral,Product Pages,Customer Referral,8,4,0,0,0.0,342.43,,,Organic Search > Email > Organic Search > Paid Social > Email > Paid Social > Organic Search > Referral
JOURNEY-00065,CUST-00065,2025-01-25 17:49:00,2025-01-31 18:14:00,Paid Search,Paid Social,Competitor Search,Instagram Ads,4,4,0,0,0.0,144.42,,,Paid Search > Organic Social > Email > Paid Social
JOURNEY-00066,CUST-00066,2025-03-08 16:45:00,2025-03-10 08:04:00,Display,Referral,Prospecting,Affiliate,2,2,0,0,0.0,39.32,,,Display > Referral
JOURNEY-00067,CUST-00067,2025-05-15 13:52:00,2025-05-17 02:22:00,Paid Search,Email,Brand Search,Promotional Email,3,3,1,1,155.66,36.5,2025-05-17 02:22:00,1.52,Paid Search > Organic Search > Email
JOURNEY-00068,CUST-00068,2025-05-29 10:49:00,2025-06-03 02:41:00,Paid Search,Organic Search,Brand Search,SEO Blog,4,4,0,0,0.0,111.87,,,Paid Search > Paid Social > Display > Organic Search
JOURNEY-00069,CUST-00069,2025-01-08 19:03:00,2025-01-10 10:58:00,Direct,Paid Search,Direct Visit,Product Search,2,2,0,0,0.0,39.92,,,Direct > Paid Search
JOURNEY-00070,CUST-00070,2025-03-27 15:56:00,2025-04-02 08:20:00,Display,Referral,Retargeting,Affiliate,4,4,0,0,0.0,136.4,,,Display > Organic Social > Email > Referral
JOURNEY-00071,CUST-00071,2025-05-29 03:18:00,2025-06-02 04:32:00,Organic Social,Paid Search,TikTok Organic,Competitor Search,3,3,1,1,57.0,97.23,2025-06-02 04:32:00,4.05,Organic Social > Email > Paid Search
JOURNEY-00072,CUST-00072,2025-03-27 08:12:00,2025-03-27 08:12:00,Email,Email,Welcome Series,Welcome Series,1,1,1,1,73.0,0.0,2025-03-27 08:12:00,0.0,Email
JOURNEY-00073,CUST-00073,2025-02-08 01:08:00,2025-02-09 09:28:00,Referral,Paid Social,Partner Website,LinkedIn Ads,3,3,1,1,426.2,32.33,2025-02-09 09:28:00,1.35,Referral > Organic Search > Paid Social
JOURNEY-00074,CUST-00074,2025-01-18 09:07:00,2025-01-20 12:33:00,Referral,Email,Customer Referral,Welcome Series,2,2,0,0,0.0,51.43,,,Referral > Email
JOURNEY-00075,CUST-00075,2025-05-25 23:19:00,2025-06-02 03:21:00,Organic Social,Email,TikTok Organic,Promotional Email,5,4,1,1,166.3,172.03,2025-06-02 03:21:00,7.17,Organic Social > Direct > Paid Social > Paid Social > Email
JOURNEY-00076,CUST-00076,2025-06-17 06:39:00,2025-06-24 09:13:00,Organic Social,Organic Search,TikTok Organic,Educational Content,4,3,1,1,93.2,170.57,2025-06-24 09:13:00,7.11,Organic Social > Organic Search > Paid Social > Organic Search
JOURNEY-00077,CUST-00077,2025-04-29 22:50:00,2025-05-01 13:44:00,Direct,Organic Social,Direct Visit,TikTok Organic,2,2,1,1,87.37,38.9,2025-05-01 13:44:00,1.62,Direct > Organic Social
JOURNEY-00078,CUST-00078,2025-04-13 18:56:00,2025-04-25 19:57:00,Referral,Paid Search,Affiliate,Brand Search,5,5,0,0,0.0,289.02,,,Referral > Paid Social > Email > Organic Search > Paid Search
JOURNEY-00079,CUST-00079,2025-06-18 08:07:00,2025-06-27 01:08:00,Paid Search,Paid Social,Product Search,Facebook Ads,5,5,0,0,0.0,209.02,,,Paid Search > Referral > Display > Organic Search > Paid Social
JOURNEY-00080,CUST-00080,2025-04-14 04:29:00,2025-04-15 22:27:00,Paid Search,Direct,Product Search,Direct Visit,2,2,0,0,0.0,41.97,,,Paid Search > Direct
JOURNEY-00081,CUST-00081,2025-03-07 00:12:00,2025-03-13 12:27:00,Direct,Organic Search,Direct Visit,Educational Content,5,5,0,0,0.0,156.25,,,Direct > Referral > Paid Search > Display > Organic Search
JOURNEY-00082,CUST-00082,2025-04-13 04:58:00,2025-04-17 01:38:00,Organic Search,Paid Search,SEO Blog,Competitor Search,2,2,0,0,0.0,92.67,,,Organic Search > Paid Search
JOURNEY-00083,CUST-00083,2025-06-16 19:18:00,2025-06-22 15:20:00,Organic Social,Paid Social,TikTok Organic,Facebook Ads,5,4,0,0,0.0,140.03,,,Organic Social > Direct > Direct > Email > Paid Social
JOURNEY-00084,CUST-00084,2025-02-20 23:49:00,2025-02-23 05:51:00,Organic Social,Direct,Instagram Organic,Direct Visit,2,2,0,0,0.0,54.03,,,Organic Social > Direct
JOURNEY-00085,CUST-00085,2025-01-27 04:08:00,2025-01-27 04:08:00,Direct,Direct,Direct Visit,Direct Visit,1,1,0,0,0.0,0.0,,,Direct
JOURNEY-00086,CUST-00086,2025-04-13 03:20:00,2025-04-20 19:04:00,Paid Search,Paid Social,Brand Search,LinkedIn Ads,5,5,0,0,0.0,183.73,,,Paid Search > Organic Search > Organic Social > Direct > Paid Social
JOURNEY-00087,CUST-00087,2025-04-06 12:01:00,2025-04-10 04:26:00,Paid Social,Direct,Facebook Ads,Direct Visit,2,2,0,0,0.0,88.42,,,Paid Social > Direct
JOURNEY-00088,CUST-00088,2025-04-18 23:01:00,2025-04-24 08:12:00,Direct,Referral,Direct Visit,Partner Website,4,4,0,0,0.0,129.18,,,Direct > Paid Social > Paid Search > Referral
JOURNEY-00089,CUST-00089,2025-01-09 17:29:00,2025-01-16 23:33:00,Organic Search,Email,Product Pages,Promotional Email,5,4,0,0,0.0,174.07,,,Organic Search > Display > Paid Search > Organic Search > Email
JOURNEY-00090,CUST-00090,2025-05-22 11:48:00,2025-05-23 03:52:00,Organic Search,Paid Social,SEO Blog,Facebook Ads,2,2,1,1,86.28,16.07,2025-05-23 03:52:00,0.67,Organic Search > Paid Social
JOURNEY-00091,CUST-00091,2025-03-28 08:21:00,2025-04-05 11:24:00,Paid Search,Display,Brand Search,Retargeting,5,5,0,0,0.0,195.05,,,Paid Search > Organic Social > Paid Social > Organic Search > Display
JOURNEY-00092,CUST-00092,2025-06-06 17:00:00,2025-06-15 19:55:00,Paid Social,Referral,Instagram Ads,Affiliate,6,4,1,1,71.69,218.92,2025-06-15 19:55:00,9.12,Paid Social > Organic Social > Paid Social > Email > Organic Social > Referral
JOURNEY-00093,CUST-00093,2025-04-24 22:45:00,2025-04-28 21:00:00,Referral,Email,Partner Website,Promotional Email,2,2,1,1,185.74,94.25,2025-04-28 21:00:00,3.93,Referral > Email
JOURNEY-00094,CUST-00094,2025-06-14 08:57:00,2025-06-22 12:33:00,Organic Search,Organic Search,Product Pages,SEO Blog,4,3,0,0,0.0,195.6,,,Organic Search > Organic Social > Paid Social > Organic Search
JOURNEY-00095,CUST-00095,2025-01-26 09:20:00,2025-01-31 23:19:00,Paid Social,Organic Search,LinkedIn Ads,Educational Content,3,3,0,0,0.0,133.98,,,Paid Social > Paid Search > Organic Search
JOURNEY-00096,CUST-00096,2025-01-16 18:58:00,2025-01-22 01:36:00,Paid Social,Organic Social,Instagram Ads,Instagram Organic,4,4,0,0,0.0,126.63,,,Paid Social > Paid Search > Organic Search > Organic Social
JOURNEY-00097,CUST-00097,2025-06-19 06:02:00,2025-06-26 01:58:00,Paid Search,Referral,Product Search,Partner Website,3,3,1,1,135.08,163.93,2025-06-26 01:58:00,6.83,Paid Search > Email > Referral
JOURNEY-00098,CUST-00098,2025-02-25 03:56:00,2025-03-01 21:12:00,Display,Direct,Banner Campaign,Direct Visit,3,3,0,0,0.0,113.27,,,Display > Paid Social > Direct
JOURNEY-00099,CUST-00099,2025-05-30 18:57:00,2025-06-06 05:31:00,Organic Search,Paid Social,Educational Content,Instagram Ads,4,4,1,1,150.45,154.57,2025-06-06 05:31:00,6.44,Organic Search > Display > Email > Paid Social
JOURNEY-00100,CUST-00100,2025-06-27 14:22:00,2025-07-03 12:01:00,Direct,Display,Direct Visit,Prospecting,4,4,0,0,0.0,141.65,,,Direct > Referral > Organic Search > Display
JOURNEY-00101,CUST-00101,2025-03-31 20:23:00,2025-04-05 08:39:00,Direct,Display,Direct Visit,Prospecting,3,3,0,0,0.0,108.27,,,Direct > Paid Search > Display
JOURNEY-00102,CUST-00102,2025-03-15 00:20:00,2025-03-15 11:48:00,Email,Organic Social,Promotional Email,Instagram Organic,2,2,0,0,0.0,11.47,,,Email > Organic Social
JOURNEY-00103,CUST-00103,2025-03-22 23:34:00,2025-03-24 13:07:00,Paid Search,Direct,Competitor Search,Direct Visit,4,3,0,0,0.0,37.55,,,Paid Search > Direct > Referral > Direct
JOURNEY-00104,CUST-00104,2025-06-18 17:24:00,2025-07-05 01:58:00,Paid Social,Paid Social,Facebook Ads,Facebook Ads,7,5,0,0,0.0,392.57,,,Paid Social > Organic Social > Paid Search > Referral > Organic Search > Paid Search > Paid Social
JOURNEY-00105,CUST-00105,2025-04-11 16:36:00,2025-04-18 01:52:00,Paid Social,Paid Search,Instagram Ads,Competitor Search,3,2,1,1,73.35,153.27,2025-04-18 01:52:00,6.39,Paid Social > Paid Social > Paid Search
JOURNEY-00106,CUST-00106,2025-04-26 14:59:00,2025-05-04 07:43:00,Paid Search,Paid Social,Competitor Search,LinkedIn Ads,5,4,0,0,0.0,184.73,,,Paid Search > Email > Paid Social > Direct > Paid Social
JOURNEY-00107,CUST-00107,2025-01-06 09:37:00,2025-01-09 10:23:00,Organic Search,Paid Social,SEO Blog,Facebook Ads,3,3,0,0,0.0,72.77,,,Organic Search > Email > Paid Social
JOURNEY-00108,CUST-00108,2025-06-29 16:15:00,2025-07-01 19:58:00,Email,Direct,Welcome Series,Direct Visit,2,2,0,0,0.0,51.72,,,Email > Direct
JOURNEY-00109,CUST-00109,2025-06-04 22:26:00,2025-06-10 20:08:00,Direct,Display,Direct Visit,Banner Campaign,4,3,0,0,0.0,141.7,,,Direct > Direct > Referral > Display
JOURNEY-00110,CUST-00110,2025-03-19 04:31:00,2025-03-19 22:32:00,Paid Social,Organic Search,LinkedIn Ads,Educational Content,2,2,0,0,0.0,18.02,,,Paid Social > Organic Search
JOURNEY-00111,CUST-00111,2025-02-26 00:03:00,2025-03-02 08:18:00,Email,Referral,Welcome Series,Affiliate,3,3,1,1,56.35,104.25,2025-03-02 08:18:00,4.34,Email > Paid Search > Referral
JOURNEY-00112,CUST-00112,2025-01-02 21:12:00,2025-01-07 21:20:00,Email,Organic Social,Promotional Email,LinkedIn Organic,3,3,0,0,0.0,120.13,,,Email > Display > Organic Social
JOURNEY-00113,CUST-00113,2025-01-09 07:26:00,2025-01-12 13:28:00,Email,Organic Social,Newsletter,Instagram Organic,2,2,0,0,0.0,78.03,,,Email > Organic Social
JOURNEY-00114,CUST-00114,2025-06-05 05:34:00,2025-06-07 21:00:00,Paid Social,Referral,Facebook Ads,Customer Referral,3,3,0,0,0.0,63.43,,,Paid Social > Paid Search > Referral
JOURNEY-00115,CUST-00115,2025-01-13 20:03:00,2025-01-21 03:15:00,Email,Paid Search,Newsletter,Brand Search,6,4,0,0,0.0,175.2,,,Email > Paid Social > Email > Paid Search > Display > Paid Search
JOURNEY-00116,CUST-00116,2025-02-08 14:37:00,2025-02-13 04:00:00,Direct,Display,Direct Visit,Retargeting,3,3,0,0,0.0,109.38,,,Direct > Organic Search > Display
JOURNEY-00117,CUST-00117,2025-01-05 20:43:00,2025-01-09 07:52:00,Referral,Direct,Partner Website,Direct Visit,3,3,0,0,0.0,83.15,,,Referral > Paid Social > Direct
JOURNEY-00118,CUST-00118,2025-01-28 13:17:00,2025-01-28 13:17:00,Paid Search,Paid Search,Competitor Search,Competitor Search,1,1,0,0,0.0,0.0,,,Paid Search
JOURNEY-00119,CUST-00119,2025-03-16 16:36:00,2025-03-17 17:55:00,Paid Social,Email,Facebook Ads,Newsletter,2,2,1,1,136.93,25.32,2025-03-17 17:55:00,1.05,Paid Social > Email
JOURNEY-00120,CUST-00120,2025-04-24 12:45:00,2025-05-04 06:20:00,Paid Social,Direct,Facebook Ads,Direct Visit,4,4,1,1,206.61,233.58,2025-05-04 06:20:00,9.73,Paid Social > Paid Search > Referral > Direct
JOURNEY-00121,CUST-00121,2025-05-23 08:05:00,2025-05-23 10:33:00,Paid Search,Organic Social,Competitor Search,Instagram Organic,2,2,0,0,0.0,2.47,,,Paid Search > Organic Social
JOURNEY-00122,CUST-00122,2025-06-26 17:56:00,2025-06-30 11:55:00,Organic Search,Organic Social,SEO Blog,LinkedIn Organic,2,2,1,1,167.34,89.98,2025-06-30 11:55:00,3.75,Organic Search > Organic Social
JOURNEY-00123,CUST-00123,2025-03-16 20:51:00,2025-03-22 22:35:00,Organic Social,Paid Social,TikTok Organic,Facebook Ads,4,4,1,1,129.36,145.73,2025-03-22 22:35:00,6.07,Organic Social > Direct > Paid Search > Paid Social
JOURNEY-00124,CUST-00124,2025-01-08 21:25:00,2025-01-16 23:37:00,Paid Search,Display,Product Search,Retargeting,5,4,1,1,167.45,194.2,2025-01-16 23:37:00,8.09,Paid Search > Organic Social > Paid Search > Paid Social > Display
JOURNEY-00125,CUST-00125,2025-01-14 22:36:00,2025-01-14 22:36:00,Paid Search,Paid Search,Brand Search,Brand Search,1,1,1,1,40.95,0.0,2025-01-14 22:36:00,0.0,Paid Search
JOURNEY-00126,CUST-00126,2025-03-05 06:16:00,2025-03-05 06:16:00,Paid Social,Paid Social,Instagram Ads,Instagram Ads,1,1,0,0,0.0,0.0,,,Paid Social
JOURNEY-00127,CUST-00127,2025-04-19 00:13:00,2025-04-22 05:44:00,Display,Direct,Retargeting,Direct Visit,2,2,0,0,0.0,77.52,,,Display > Direct
JOURNEY-00128,CUST-00128,2025-01-13 22:29:00,2025-01-25 19:53:00,Direct,Organic Social,Direct Visit,TikTok Organic,8,6,0,0,0.0,285.4,,,Direct > Email > Paid Search > Email > Paid Search > Referral > Display > Organic Social
JOURNEY-00129,CUST-00129,2025-06-23 06:40:00,2025-06-29 07:05:00,Display,Paid Search,Banner Campaign,Product Search,4,3,0,0,0.0,144.42,,,Display > Direct > Display > Paid Search
JOURNEY-00130,CUST-00130,2025-03-02 14:10:00,2025-03-02 14:10:00,Paid Search,Paid Search,Competitor Search,Competitor Search,1,1,0,0,0.0,0.0,,,Paid Search
